date,site.id,influx
2014-11-02,37,0
2014-11-02,38,0
2014-11-02,39,1369
2014-11-02,40,0
2014-11-02,47,0
2014-11-02,51,0
2014-11-02,53,0
2014-11-02,62,0
2014-11-02,63,0
2014-11-02,64,0
2014-11-02,66,33
2014-11-02,68,0
2014-11-02,69,0
2014-11-02,78,0
2014-11-02,79,0
2014-11-02,85,0
2014-11-02,86,0
2014-11-02,89,62
2014-11-02,90,291
2014-11-02,100,0
2014-11-02,101,0
2014-11-02,102,0
2014-11-02,103,0
2014-11-02,105,95
2014-11-02,146,64
2014-11-02,147,0
2014-11-02,149,0
2014-11-02,150,189
2014-11-02,151,0
2014-11-03,1,3
2014-11-03,3,80
2014-11-03,5,0
2014-11-03,8,0
2014-11-03,10,0
2014-11-03,11,0
2014-11-03,14,0
2014-11-03,16,0
2014-11-03,17,0
2014-11-03,18,0
2014-11-03,20,0
2014-11-03,21,0
2014-11-03,22,0
2014-11-03,24,0
2014-11-03,25,0
2014-11-03,28,0
2014-11-03,34,0
2014-11-03,36,0
2014-11-03,37,0
2014-11-03,38,0
2014-11-03,39,1444
2014-11-03,40,0
2014-11-03,47,0
2014-11-03,51,0
2014-11-03,53,0
2014-11-03,62,0
2014-11-03,63,0
2014-11-03,64,0
2014-11-03,66,33
2014-11-03,68,0
2014-11-03,69,0
2014-11-03,78,0
2014-11-03,79,0
2014-11-03,85,0
2014-11-03,86,0
2014-11-03,89,22
2014-11-03,90,322
2014-11-03,100,0
2014-11-03,101,0
2014-11-03,102,0
2014-11-03,103,0
2014-11-03,105,12
2014-11-03,146,154
2014-11-03,147,0
2014-11-03,149,0
2014-11-03,150,842
2014-11-03,151,0
2014-11-04,1,0
2014-11-04,3,51
2014-11-04,5,0
2014-11-04,8,0
2014-11-04,10,0
2014-11-04,11,0
2014-11-04,14,3
2014-11-04,16,0
2014-11-04,17,0
2014-11-04,18,0
2014-11-04,20,0
2014-11-04,21,0
2014-11-04,22,0
2014-11-04,24,0
2014-11-04,25,0
2014-11-04,28,0
2014-11-04,34,13
2014-11-04,36,0
2014-11-04,37,0
2014-11-04,38,0
2014-11-04,39,270
2014-11-04,40,0
2014-11-04,47,0
2014-11-04,51,0
2014-11-04,53,0
2014-11-04,62,0
2014-11-04,63,0
2014-11-04,64,0
2014-11-04,66,57
2014-11-04,68,0
2014-11-04,69,5
2014-11-04,78,0
2014-11-04,79,0
2014-11-04,85,0
2014-11-04,86,0
2014-11-04,89,19
2014-11-04,90,120
2014-11-04,100,0
2014-11-04,101,0
2014-11-04,102,0
2014-11-04,103,0
2014-11-04,105,1
2014-11-04,146,70
2014-11-04,147,0
2014-11-04,149,0
2014-11-04,150,345
2014-11-04,151,0
2014-11-05,1,0
2014-11-05,3,49
2014-11-05,5,0
2014-11-05,8,0
2014-11-05,10,0
2014-11-05,11,0
2014-11-05,14,0
2014-11-05,16,0
2014-11-05,17,0
2014-11-05,18,0
2014-11-05,20,0
2014-11-05,21,0
2014-11-05,22,0
2014-11-05,24,0
2014-11-05,25,0
2014-11-05,28,0
2014-11-05,34,27
2014-11-05,36,0
2014-11-05,37,0
2014-11-05,38,0
2014-11-05,39,92
2014-11-05,40,0
2014-11-05,47,0
2014-11-05,51,0
2014-11-05,53,0
2014-11-05,62,2
2014-11-05,63,0
2014-11-05,64,0
2014-11-05,66,87
2014-11-05,68,0
2014-11-05,69,2
2014-11-05,78,0
2014-11-05,79,0
2014-11-05,85,0
2014-11-05,86,0
2014-11-05,89,28
2014-11-05,90,70
2014-11-05,100,0
2014-11-05,101,0
2014-11-05,102,0
2014-11-05,103,0
2014-11-05,105,0
2014-11-05,146,30
2014-11-05,147,0
2014-11-05,149,0
2014-11-05,150,95
2014-11-05,151,27
2014-11-06,1,0
2014-11-06,3,126
2014-11-06,5,0
2014-11-06,8,0
2014-11-06,10,0
2014-11-06,11,0
2014-11-06,14,0
2014-11-06,16,0
2014-11-06,17,0
2014-11-06,18,0
2014-11-06,20,0
2014-11-06,21,0
2014-11-06,22,0
2014-11-06,24,0
2014-11-06,25,0
2014-11-06,28,5
2014-11-06,34,23
2014-11-06,36,12
2014-11-06,37,0
2014-11-06,38,0
2014-11-06,39,65
2014-11-06,40,0
2014-11-06,47,0
2014-11-06,51,0
2014-11-06,53,0
2014-11-06,62,0
2014-11-06,63,0
2014-11-06,64,0
2014-11-06,66,63
2014-11-06,68,1
2014-11-06,69,2
2014-11-06,78,0
2014-11-06,79,757
2014-11-06,85,0
2014-11-06,86,0
2014-11-06,89,31
2014-11-06,90,27
2014-11-06,100,0
2014-11-06,101,0
2014-11-06,102,0
2014-11-06,103,0
2014-11-06,105,64
2014-11-06,146,0
2014-11-06,147,0
2014-11-06,149,0
2014-11-06,150,28
2014-11-06,151,7
2014-11-07,1,0
2014-11-07,3,214
2014-11-07,5,0
2014-11-07,8,0
2014-11-07,10,0
2014-11-07,11,0
2014-11-07,14,7
2014-11-07,16,0
2014-11-07,17,0
2014-11-07,18,0
2014-11-07,20,0
2014-11-07,21,0
2014-11-07,22,0
2014-11-07,24,0
2014-11-07,25,0
2014-11-07,28,0
2014-11-07,34,0
2014-11-07,36,0
2014-11-07,37,0
2014-11-07,38,0
2014-11-07,39,122
2014-11-07,40,0
2014-11-07,47,0
2014-11-07,51,0
2014-11-07,53,0
2014-11-07,62,6
2014-11-07,63,0
