origin,destination,distance
14,90,196452.051231637
14,100,205441.913050293
14,101,233716.677069315
14,102,233716.677069315
14,103,259305.971331666
14,105,188097.605615903
14,146,133309.076498621
14,147,154846.55116961
14,149,175555.874094921
14,150,155677.891963604
14,151,168104.701548363
16,1,156761.496392314
16,3,56304.4603045015
16,5,29852.6550185993
16,8,261365.567268888
16,10,260941.303200176
16,11,224197.819947038
16,14,24841.7680651978
16,17,2488.85438199983
16,18,0
16,20,236111.215844371
16,21,232451.541069121
16,22,78276.8569637506
16,24,79712.0564265319
16,25,15333.126291999
16,28,72716.3447216127
16,34,86158.7059224605
16,36,28170.9476719478
16,37,76583.126278049
16,38,18952.4758424985
16,39,84849.3137069093
16,40,196576.389067151
16,47,93177.1914069022
16,51,97636.5948544869
16,53,52612.9229015991
16,62,279333.926480508
16,63,289354.89498808
16,64,285695.97371466
16,66,201684.944807737
16,68,235114.851939719
16,69,234786.110173668
16,78,217231.847841236
16,79,192901.973796738
16,85,236833.857840735
16,86,235268.610256485
16,89,187250.698503102
16,90,214425.1550196
16,100,191523.220770755
16,101,219797.984789777
16,102,219797.984789777
16,103,245387.279052128
16,105,206070.709403867
16,146,119390.384219083
16,147,140927.858890073
16,149,161637.181815383
16,150,141759.199684066
16,151,154186.009268825
17,1,154443.242973302
17,3,53986.206885489
17,5,27534.4015995869
17,8,259047.313849876
17,10,258623.049781164
17,11,221879.566528025
17,14,22523.5146461853
17,16,2488.85438199983
17,18,2488.85438199983
17,20,233792.962425358
17,21,230133.287650108
17,22,75958.6035447383
17,24,77393.8030075194
17,25,13014.8728729865
17,28,70398.0913026002
17,34,83840.452503448
17,36,25852.6942529354
17,37,74264.8728590365
17,38,16634.2224234861
17,39,82531.0602878968
17,40,194258.135648138
17,47,90858.9379878897
17,51,95318.3414354744
17,53,50294.6694825867
17,62,277015.673061495
17,63,287036.641569067
17,64,283377.720295647
17,66,199366.691388724
17,68,232796.598520706
17,69,232467.856754655
17,78,214913.594422224
17,79,190583.720377725
17,85,234515.604421722
17,86,232950.356837472
17,89,184932.445084089
17,90,212106.901600588
17,100,189204.967351743
17,101,217479.731370764
17,102,217479.731370764
17,103,243069.025633115
17,105,203752.455984855
17,146,117072.130800071
17,147,138609.60547106
17,149,159318.92839637
17,150,139440.946265053
17,151,151867.755849812
18,1,156761.496392314
18,3,56304.4603045015
18,5,29852.6550185993
18,8,261365.567268888
18,10,260941.303200176
18,11,224197.819947038
18,14,24841.7680651978
18,16,0
18,17,2488.85438199983
18,20,236111.215844371
18,21,232451.541069121
18,22,78276.8569637506
18,24,79712.0564265319
18,25,15333.126291999
18,28,72716.3447216127
18,34,86158.7059224605
18,36,28170.9476719478
18,37,76583.126278049
18,38,18952.4758424985
18,39,84849.3137069093
18,40,196576.389067151
18,47,93177.1914069022
18,51,97636.5948544869
18,53,52612.9229015991
18,62,279333.926480508
18,63,289354.89498808
18,64,285695.97371466
18,66,201684.944807737
18,68,235114.851939719
18,69,234786.110173668
18,78,217231.847841236
18,79,192901.973796738
18,85,236833.857840735
18,86,235268.610256485
18,89,187250.698503102
18,90,214425.1550196
18,100,191523.220770755
18,101,219797.984789777
18,102,219797.984789777
18,103,245387.279052128
18,105,206070.709403867
18,146,119390.384219083
18,147,140927.858890073
18,149,161637.181815383
18,150,141759.199684066
18,151,154186.009268825
20,1,80759.2389463017
20,3,196180.190683604
20,5,253915.414027536
20,8,91786.81633835
20,10,91362.5522696381
20,11,54619.0690165024
20,14,218138.112056405
20,16,236111.215844367
20,17,233792.962425355
20,18,236111.215844367
20,21,3659.67477524977
20,22,255182.935800168
20,24,165197.029250521
20,25,238499.758644541
20,28,249622.423558029
20,34,150330.218685906
20,36,221939.427618155
20,37,253489.205114465
20,38,240605.018851888
20,39,151674.801157906
20,40,123146.592471497
20,47,310797.623350202
20,51,315257.026797786
20,53,276928.126705206
20,62,496954.35842381
20,63,506975.326931383
20,64,503316.405657962
20,66,413703.897763628
20,68,447133.80489561
20,69,446805.063129559
20,78,429250.800797128
20,79,404920.926752629
20,85,448852.810796626
20,86,447287.563212376
20,89,54606.7040676202
20,90,31318.5318854581
20,100,409143.652714058
20,101,437418.41673308
20,102,437418.41673308
20,103,463007.710995431
20,105,56664.0261858167
20,146,336886.114252972
20,147,353135.666227962
20,149,379257.613758685
20,150,332989.079819626
20,151,359800.676563959
21,1,77099.5641710519
21,3,192520.515908354
21,5,250255.739252286
21,8,88127.1415631005
21,10,87702.8774943886
21,11,50959.3942412527
21,14,214478.437281155
21,16,232451.541069117
21,17,230133.287650105
21,18,232451.541069117
21,20,3659.67477524977
21,22,251523.261024918
21,24,161537.354475271
21,25,234840.083869291
21,28,245962.748782779
21,34,146670.543910656
21,36,218279.752842905
21,37,249829.530339215
21,38,236945.344076638
21,39,148015.126382656
21,40,119486.917696247
21,47,307137.948574952
21,51,311597.352022536
21,53,273268.451929956
21,62,493294.68364856
21,63,503315.652156133
21,64,499656.730882712
21,66,410044.222988378
21,68,443474.13012036
21,69,443145.388354309
21,78,425591.126021878
21,79,401261.251977379
21,85,445193.136021376
21,86,443627.888437126
21,89,50947.0292923704
21,90,27658.8571102084
21,100,405483.977938808
21,101,433758.74195783
21,102,433758.74195783
21,103,459348.036220181
21,105,53004.3514105669
21,146,333226.439477722
21,147,349475.991452712
21,149,375597.938983435
21,150,329329.405044376
21,151,356141.001788709
22,1,175833.216348113
22,3,60161.95406276
22,5,91516.3416342353
22,8,280437.287224687
22,10,280013.023155975
22,11,243269.539902837
22,14,80119.561814082
22,16,78276.8569637507
22,17,75958.6035447383
22,18,78276.8569637507
22,20,255182.93580017
22,21,251523.26102492
22,24,119699.180267407
22,25,82681.7093584027
22,28,19237.290367859
22,34,118597.991984355
22,36,83448.741420832
22,37,22868.0039467955
22,38,83932.4980013157
22,39,116580.395836305
22,40,215648.10902295
22,47,68709.5443952252
22,51,73168.9478428089
22,53,107829.709543214
22,62,254866.279468828
22,63,264887.2479764
22,64,261228.32670298
22,66,173268.29465115
22,68,206698.201783132
22,69,206369.460017081
22,78,188815.19768465
22,79,164485.323640152
22,85,208417.207684148
22,86,206851.960099898
22,89,206322.418458901
22,90,233496.874975399
22,100,167055.573759076
22,101,195330.337778098
22,102,195330.337778098
22,103,220919.632040449
22,105,225142.429359666
22,146,94798.035297994
22,147,112511.208733486
22,149,137169.534803704
22,150,104573.567521563
22,151,120442.806124527
24,1,85847.3097984674
24,3,60696.4351508446
24,5,97516.254609699
24,8,190451.38067504
24,10,190027.116606328
24,11,153283.633353189
24,14,61738.9526385689
24,16,79712.056426532
24,17,77393.8030075195
24,18,79712.056426532
24,20,165197.029250521
24,21,161537.354475271
24,22,119699.180267406
24,25,82100.5992267044
24,28,114138.668025268
24,34,14961.237755615
24,36,65540.2682003185
24,37,118005.449581705
24,38,84205.8594340514
24,39,15256.4454169717
24,40,125662.2024733
24,47,163426.942954512
24,51,167886.346402096
24,53,120528.967287367
24,62,349583.67802812
24,63,359604.646535693
24,64,355945.725262272
24,66,271934.696355348
24,68,305364.60348733
24,69,305035.861721279
24,78,287481.599388847
24,79,263151.725344349
24,85,307083.609388346
24,86,305518.361804096
24,89,116336.511909253
24,90,143510.968425751
24,100,261772.972318368
24,101,290047.73633739
24,102,290047.73633739
24,103,315637.030599741
24,105,135156.522810018
24,146,189640.135766694
24,147,211177.610437681
24,149,231886.933362996
24,150,197505.324286863
24,151,224316.921031196
25,1,159150.039192487
25,3,61369.9542875412
25,5,16718.5991081471
25,8,263754.110069061
25,10,263329.846000349
25,11,226586.36274721
25,14,24258.7049026348
25,16,15333.126291999
25,17,13014.8728729865
25,18,15333.126291999
25,20,238499.758644543
25,21,234840.083869293
25,22,82681.7093584028
25,24,82100.5992267044
25,28,78240.8292404129
25,34,88547.248722633
25,36,27587.8845093849
25,37,82107.6107968492
25,38,4128.64655500875
25,39,87237.8565070818
25,40,198964.931867323
25,47,88382.0107140726
25,51,92841.4141616573
25,53,39731.3117858155
25,62,274538.745787678
25,63,284559.71429525
25,64,280900.79302183
25,66,196889.764114907
25,68,230319.671246889
25,69,229990.929480838
25,78,212436.667148407
25,79,188106.793103908
25,85,232038.677147905
25,86,230473.429563655
25,89,189639.241303274
25,90,216813.697819773
25,100,186728.040077925
25,101,215002.804096947
25,102,215002.804096947
25,103,240592.098359298
25,105,208459.25220404
25,146,114595.203526254
25,147,136132.678197243
25,149,156842.001122553
25,150,136964.018991236
25,151,149390.828575995
28,1,170272.704105975
28,3,54601.4418206217
28,5,93294.7947216323
28,8,274876.774982549
28,10,274452.510913837
28,11,237709.027660698
28,14,74559.0495719437
28,16,72716.3447216126
28,17,70398.0913026002
28,18,72716.3447216126
28,20,249622.423558031
28,21,245962.748782781
28,22,19237.290367859
28,24,114138.668025269
28,25,78240.8292404127
28,34,113037.479742217
28,36,77888.2291786938
28,37,4689.85428261925
28,38,81967.0661418361
28,39,111019.883594166
28,40,210087.596780811
28,47,81041.8891970409
28,51,85501.2926446252
28,53,116169.810238572
28,62,267198.624270645
28,63,277219.592778217
28,64,273560.671504797
28,66,185600.639452967
28,68,219030.546584949
28,69,218701.804818898
28,78,201147.542486467
28,79,176817.668441968
28,85,220749.552485965
28,86,219184.304901715
28,89,200761.906216762
28,90,227936.362733261
28,100,179387.918560893
28,101,207662.682579914
28,102,207662.682579914
28,103,233251.976842266
28,105,219581.917117528
28,146,107130.38009981
28,147,124843.553535302
28,149,149501.87960552
28,150,112648.632896254
28,151,132775.150926343
34,1,70980.4992338527
34,3,59595.2468677929
34,5,103962.904105627
34,8,175584.570110424
34,10,175160.306041713
34,11,138416.822788574
34,14,68185.6021344973
34,16,86158.7059224604
34,17,83840.452503448
34,18,86158.7059224604
34,20,150330.218685906
34,21,146670.543910656
34,22,118597.991984354
34,24,14961.237755615
34,25,88547.2487226329
34,28,113037.479742217
34,36,71986.9176962469
34,37,116904.261298653
34,38,90652.5089299798
34,39,4531.37186972422
34,40,110795.391908685
34,47,169873.592450441
34,51,174332.995898025
34,53,126975.616783296
34,62,356030.327524049
34,63,366051.296031622
34,64,362392.374758201
34,66,277118.953947816
34,68,310548.861079798
34,69,310220.119313747
34,78,292665.856981316
34,79,268335.982936817
34,85,312267.866980814
34,86,310702.619396564
34,89,101469.701344638
34,90,128644.157861135
34,100,268219.621814297
34,101,296494.385833319
34,102,296494.385833319
34,103,322083.68009567
34,105,120289.712245403
34,146,196086.785262623
34,147,216550.72241215
34,149,238333.582858925
34,150,196404.136003811
34,151,223215.732748144
36,1,142589.7081661
36,3,53795.9041387547
36,5,43003.5398923797
36,8,247193.779042674
36,10,246769.514973963
36,11,210026.031720824
36,14,3996.18059344894
36,16,28170.9476719478
36,17,25852.6942529354
36,18,28170.9476719478
36,20,221939.427618157
36,21,218279.752842907
36,22,83448.7414208314
36,24,65540.2682003186
36,25,27587.8845093849
36,28,77888.2291786938
36,34,71986.9176962471
36,37,81755.01073513
36,38,29693.144716732
36,39,70677.5254806959
36,40,182404.600840936
36,47,110425.063293189
36,51,114884.466740774
36,53,66016.2525700479
36,62,296581.798366796
36,63,306602.766874368
36,64,302943.845600948
36,66,218932.816694026
36,68,252362.723826007
36,69,252033.982059957
36,78,234479.719727525
36,79,210149.845683026
36,85,254081.729727023
36,86,252516.482142774
36,89,173078.910276888
36,90,200253.366793387
36,100,208771.092657044
36,101,237045.856676065
36,102,237045.856676065
36,103,262635.150938417
36,105,191898.921177653
36,146,136638.256105371
36,147,158175.73077636
36,149,178885.053701671
36,150,159007.071570354
36,151,171433.881155113
37,1,174139.485662411
37,3,58468.223377058
37,5,97161.5762780685
37,8,278743.556538985
37,10,278319.292470273
37,11,241575.809217135
37,14,78425.83112838
37,16,76583.1262780488
37,17,74264.8728590363
37,18,76583.1262780488
37,20,253489.205114468
37,21,249829.530339218
37,22,22868.0039467955
37,24,118005.449581705
37,25,82107.610796849
37,28,4689.85428261925
37,34,116904.261298653
37,36,81755.0107351301
37,38,85833.8476982724
37,39,114886.665150603
37,40,213954.378337248
37,47,84672.6027759772
37,51,89132.0062235618
37,53,120036.591795008
37,62,270829.337849582
37,63,280850.306357154
37,64,277191.385083734
37,66,189231.353031904
37,68,222661.260163885
37,69,222332.518397835
37,78,204778.256065403
37,79,180448.382020905
37,85,224380.266064902
37,86,222815.018480652
37,89,204628.687773199
37,90,231803.144289697
37,100,183018.632139829
37,101,211293.396158851
37,102,211293.396158851
37,103,236882.690421202
37,105,223448.698673964
37,146,110761.093678747
37,147,128474.267114239
37,149,153132.593184457
37,150,116279.346475191
37,151,136405.86450528
38,1,161255.299399834
38,3,65096.1911889648
38,5,13463.1815801478
38,8,265859.370276408
38,10,265435.106207696
38,11,228691.622954558
38,14,26363.9651099819
38,16,18952.4758424985
38,17,16634.2224234861
38,18,18952.4758424985
38,20,240605.018851891
38,21,236945.344076641
38,22,83932.4980013156
38,24,84205.8594340515
38,25,4128.64655500876
38,28,81967.0661418364
38,34,90652.5089299801
38,36,29693.144716732
38,37,85833.8476982726
38,39,89343.1167144289
38,40,201070.192074671
38,47,89632.7993569854
38,51,94092.20280457
38,53,36475.8942578162
38,62,275789.534430591
38,63,285810.502938163
38,64,282151.581664742
38,66,198140.55275782
38,68,231570.459889802
38,69,231241.718123751
38,78,213687.455791319
38,79,189357.581746821
38,85,233289.465790818
38,86,231724.218206568
38,89,191744.501510621
38,90,218918.95802712
38,100,187978.828720838
38,101,216253.59273986
38,102,216253.59273986
38,103,241842.887002211
38,105,210564.512411387
38,146,115845.992169166
38,147,137383.466840155
38,149,158092.789765466
38,150,138214.807634148
38,151,150641.617218908
39,1,72325.0817058533
39,3,57577.6507197424
39,5,102653.511890076
39,8,176929.152582425
39,10,176504.888513713
39,11,139761.405260574
39,14,66876.2099189461
39,16,84849.3137069093
39,17,82531.0602878968
39,18,84849.3137069093
39,20,151674.801157907
39,21,148015.126382657
39,22,116580.395836304
39,24,15256.4454169717
39,25,87237.8565070817
39,28,111019.883594166
39,34,4531.37186972422
39,36,70677.5254806957
39,37,114886.665150603
39,38,89343.1167144286
39,40,112139.974380686
39,47,168564.20023489
39,51,173023.603682474
39,53,125666.224567744
39,62,354720.935308498
39,63,364741.90381607
39,64,361082.98254265
39,66,275101.357799766
39,68,308531.264931747
39,69,308202.523165697
39,78,290648.260833265
39,79,266318.386788766
39,85,310250.270832764
39,86,308685.023248514
39,89,102814.283816639
39,90,129988.740333136
39,100,266910.229598746
39,101,295184.993617767
39,102,295184.993617767
39,103,320774.287880119
39,105,121634.294717403
39,146,194777.393047071
39,147,214533.126264099
39,149,237024.190643373
39,150,194386.53985576
39,151,221198.136600093
40,1,67454.6370297422
40,3,156645.363906384
40,5,214380.587250317
40,8,164183.095202321
40,10,163758.831133609
40,11,127015.34788047
40,14,178603.285279185
40,16,196576.389067148
40,17,194258.135648135
40,18,196576.389067148
40,20,123146.592471497
40,21,119486.917696247
40,22,215648.109022949
40,24,125662.202473301
40,25,198964.931867321
40,28,210087.596780809
40,34,110795.391908686
40,36,182404.600840935
40,37,213954.378337246
40,38,201070.192074669
40,39,112139.974380687
40,47,271262.796572982
40,51,275722.200020566
40,53,237393.299927986
40,62,457419.53164659
40,63,467440.500154163
40,64,463781.578880742
40,66,374169.070986409
40,68,407598.97811839
40,69,407270.236352339
40,78,389715.974019908
40,79,365386.099975409
40,85,409317.984019406
40,86,407752.736435156
40,89,70204.6029363851
40,90,97379.0594528822
40,100,369608.825936838
40,101,397883.58995586
40,102,397883.58995586
40,103,423472.884218211
40,105,77015.4761789939
40,146,297351.287475752
40,147,313600.839450742
40,149,339722.786981466
40,150,293454.253042406
40,151,320265.849786739
47,1,231447.903898146
47,3,115776.641612791
47,5,97216.6429899052
47,8,336051.97477472
47,10,335627.710706008
47,11,298884.227452869
47,14,107095.88368644
47,16,93177.1914069022
47,17,90858.9379878898
47,18,93177.1914069022
47,20,310797.623350203
47,21,307137.948574953
47,22,68709.5443952245
47,24,163426.942954512
47,25,88382.0107140726
47,28,81041.8891970408
47,34,169873.59245044
47,36,110425.06329319
47,37,84672.6027759773
47,38,89632.7993569856
47,39,168564.200234888
47,40,271262.796572983
47,51,18040.0126230972
47,53,113530.010898884
47,62,191158.242077262
47,63,201179.210584834
47,64,197520.289311414
47,66,135030.350469064
47,68,156406.715257804
47,69,156077.973491753
47,78,150577.253502563
47,79,126247.379458066
47,85,158125.72115882
47,86,156560.47357457
47,89,261937.106008933
47,90,289111.562525432
47,100,103347.53636751
47,101,131622.300386532
47,102,131622.300386532
47,103,157211.594648883
47,105,280757.116909699
47,146,39237.0067743847
47,147,70876.9139602823
47,149,73461.4974121392
47,150,99726.9323589956
47,151,98100.2142753329
51,1,235907.307345731
51,3,120236.045060375
51,5,101676.04643749
51,8,340511.378222305
51,10,340087.114153593
51,11,303343.630900454
51,14,111555.287134024
51,16,97636.5948544867
51,17,95318.3414354743
51,18,97636.5948544867
51,20,315257.026797787
51,21,311597.352022537
51,22,73168.9478428089
51,24,167886.346402096
51,25,92841.4141616571
51,28,85501.2926446253
51,34,174332.995898024
51,36,114884.466740774
51,37,89132.0062235618
51,38,94092.2028045701
51,39,173023.603682473
51,40,275722.200020567
51,47,18040.0126230972
51,53,117989.414346468
51,62,205083.603297288
51,63,215104.57180486
51,64,211445.65053144
51,66,146438.404233641
51,68,170332.076477829
51,69,170003.334711779
51,78,161985.307267139
51,79,137655.433222643
51,85,172051.082378845
51,86,170485.834794596
51,89,266396.509456518
51,90,293570.965973017
51,100,117272.897587535
51,101,145547.661606557
51,102,145547.661606557
51,103,171136.955868908
51,105,285216.520357283
51,146,51607.0466972778
51,147,82284.9677248593
51,149,87386.8586321639
51,150,107971.204268995
51,151,108131.296432628
53,1,197578.40725315
53,3,99757.9258214608
53,5,26615.3417615161
53,8,302182.478129724
53,10,301758.214061012
53,11,265014.730807874
53,14,62687.0729632979
53,16,52612.9229015991
53,17,50294.6694825867
53,18,52612.9229015991
53,20,276928.126705207
53,21,273268.451929957
53,22,107829.709543214
53,24,120528.967287368
53,25,39731.3117858155
53,28,116169.810238573
53,34,126975.616783296
53,36,66016.252570048
53,37,120036.591795009
53,38,36475.8942578162
53,39,125666.224567745
53,40,237393.299927987
53,47,113530.010898883
53,51,117989.414346468
53,62,299686.74597249
53,63,309707.714480062
53,64,306048.793206642
53,66,222037.764299719
53,68,255467.671431701
53,69,255138.92966565
53,78,237584.667333219
53,79,213254.79328872
53,85,257186.677332717
53,86,255621.429748467
53,89,228067.609363937
53,90,255242.065880436
53,100,211876.040262737
53,101,240150.804281759
53,102,240150.804281759
53,103,265740.09854411
53,105,246887.620264703
53,146,139743.203711065
53,147,161280.678382054
53,149,181990.001307365
53,150,162112.019176048
53,151,174538.828760807
62,1,417604.638971755
62,3,301933.376686399
62,5,283373.378063515
62,8,522208.709848329
62,10,521784.445779617
62,11,485040.962526478
62,14,293252.618760049
62,16,279333.926480511
62,17,277015.673061499
62,18,279333.926480511
62,20,496954.358423811
62,21,493294.683648562
62,22,254866.279468832
62,24,349583.678028121
62,25,274538.745787682
62,28,267198.624270649
62,34,356030.327524049
62,36,296581.798366799
62,37,270829.337849585
62,38,275789.534430594
62,39,354720.935308498
62,40,457419.531646592
62,47,191158.242077262
62,51,205083.603297287
62,53,299686.745972494
62,63,32961.8028750122
62,64,29211.08349444
62,66,110337.146290991
62,68,88775.7720782467
62,69,88375.7720782467
62,78,118844.47250244
62,79,123835.109295067
62,85,91860.3692129961
62,86,90295.1216287462
62,89,448093.841082542
62,90,475268.297599041
62,100,119426.172710311
62,101,74386.7313534659
62,102,74386.7313534659
62,103,66972.102839618
62,105,466913.851983308
62,146,206590.790984056
62,147,181824.610099305
62,149,138819.949769129
62,150,210658.629834901
62,151,175349.901037164
63,1,427625.607479326
63,3,311954.345193969
63,5,293394.346571085
63,8,532229.678355898
63,10,531805.414287187
63,11,495061.931034049
63,14,303273.58726762
63,16,289354.894988082
63,17,287036.641569069
63,18,289354.894988082
63,20,506975.326931382
63,21,503315.652156132
63,22,264887.247976402
63,24,359604.646535692
63,25,284559.714295252
63,28,277219.592778219
63,34,366051.29603162
63,36,306602.76687437
63,37,280850.306357156
63,38,285810.502938165
63,39,364741.903816069
63,40,467440.500154162
63,47,201179.210584833
63,51,215104.571804858
63,53,309707.714480065
63,62,32961.8028750122
63,64,13725.3892083777
63,66,119491.799071177
63,68,94438.7713949164
63,69,94038.7713949164
63,78,127999.125282626
63,79,133328.238686512
63,85,97523.3685296657
63,86,95958.1209454159
63,89,458114.809590113
63,90,485289.266106612
63,100,129447.141217881
63,101,84407.6998610364
63,102,84407.6998610364
63,103,76993.0713471883
63,105,476934.820490878
63,146,216611.759491627
63,147,191317.739490752
63,149,148840.9182767
63,150,220151.759226347
63,151,184843.03042861
64,1,423966.686205905
64,3,308295.423920549
64,5,289735.425297665
64,8,528570.757082479
